13269,AGSC,299,1,"Sp.Tp.in Agricultural Science",2,AG,1,3,.,.,.,.,.,.,.,.,.,.,Walid,El Kayal
13346,AGSC,300A,1,"Graduate Tutorial",1,AG,1,1,.,.,.,.,.,.,.,.,.,.,Rami,Zurayk
10043,AGSC,300B,1,"Graduate Tutorial",2,AG,0,2,.,.,.,.,.,.,.,.,.,.,Youssef,Abou Jawdeh
13319,AGSC,307,1,"Advanced Crop Production",3,AG,4,5,0900,1155,.,.,.,.,W,.,.,.,Walid,El Kayal
10044,AGSC,308,1,"Plant Tiss.Cult.&Crop Improvem",3,AG,0,10,.,.,.,.,.,.,.,.,.,.,.,STAFF
13173,AGSC,310,1,"Advanced Soil Physics",3,AG,6,4,1400,1650,.,.,.,.,.,R,.,.,Hadi,Jaafar
10045,AGSC,324,1,"Method:Soil&Plant Tissue Analy",3,AG,7,3,1000,1155,AGRIC,310,.,.,.,.,F,.,Isam,Bashour
10046,AGSC,334,0,"Remote Sensing of the Environm",3,AG,0,0,.,.,.,.,.,.,.,.,.,.,.,STAFF
13235,AGSC,376,1,"Resource & Environmental Econo",3,AG,4,6,1415,1529,.,.,.,T,.,.,.,.,Ali,Chalak
10047,AGSC,388,1,"Integrated Pest Management",3,AG,0,0,.,.,.,.,.,.,.,.,.,.,.,STAFF
13236,AGSC,389,1,"Research Methods in Appl.Econ",3,AG,0,10,.,.,.,.,.,.,.,.,.,.,.,STAFF
10048,AGSC,395,1,"Graduate Seminar in AGSC",1,AG,5,0,1300,1350,AGRIC,325,.,T,.,.,.,.,Lina,Jaber
10049,AGSC,396,1,"Comprehensive Exam",0,AG,0,5,.,.,.,.,.,.,.,.,.,.,Youssef,Abou Jawdeh
10050,AGSC,396,2,"Comprehensive Exam",0,AG,0,2,.,.,.,.,.,.,.,.,.,.,Walid,El Kayal
10051,AGSC,396,3,"Comprehensive Exam",0,AG,2,1,.,.,.,.,.,.,.,.,.,.,Hadi,Jaafar
13337,AGSC,396,4,"Comprehensive Exam",0,AG,1,1,.,.,.,.,.,.,.,.,.,.,Ali,Chalak
10052,AGSC,399,1,"MS Thesis",9,AG,0,3,.,.,.,.,.,.,.,.,.,.,Walid,El Kayal
10053,AGSC,399,2,"MS Thesis",9,AG,0,3,.,.,.,.,.,.,.,.,.,.,Youssef,Abou Jawdeh
10054,AGSC,399,3,"MS Thesis",9,AG,1,4,.,.,.,.,.,.,.,.,.,.,Ali,Chalak
10055,AGSC,399A,1,"MS Thesis",9,AG,0,3,.,.,.,.,.,.,.,.,.,.,Walid,El Kayal
10056,AGSC,399A,2,"MS Thesis",9,AG,0,2,.,.,.,.,.,.,.,.,.,.,Youssef,Abou Jawdeh
10057,AGSC,399A,3,"MS Thesis",9,AG,3,0,.,.,.,.,.,.,.,.,.,.,Hadi,Jaafar
13408,AGSC,399A,4,"MS Thesis",9,AG,1,1,.,.,.,.,.,.,.,.,.,.,Mustapha,Haidar
10058,AGSC,399B,1,"MS Thesis",9,AG,0,2,.,.,.,.,.,.,.,.,.,.,Hadi,Jaafar
10059,AGSC,399B,2,"MS Thesis",9,AG,0,3,.,.,.,.,.,.,.,.,.,.,Ali,Chalak
10060,AGSC,399B,3,"MS Thesis",9,AG,1,4,.,.,.,.,.,.,.,.,.,.,Youssef,Abou Jawdeh
